"Location_skey";"Country";"State";"Region";"City";"Address";"PostalCode";"District";"SubDistrict";"SubSubDistrict";"SubSubSubDistrict";"DistrictCode";"SubDistrictCode";"SubSubDistrictCode";"SubSubSubDistrictCode";"Latitude";"Longitude";"IsGarage";"NameGarage"
"49440";"NLD";"NH";"Amsterdam";"Amsterdam";"Tidorestraat 10";"1094RN";"Oost";"Indische Buurt West";"Noordwestkwadrant Indische buurt Noord";"Noordwestkwadrant Indische buurt Noord";"M";"M31";"M31a";"-1";52.359942;4.940049;NA;NA
"49564";"NLD";"NH";"Amsterdam";"Amsterdam";"Waterpoortweg 447";"1051PZ";"West";"Centrale Markt";"Bedrijvencentrum Westerkwartier";"Bedrijvencentrum Westerkwartier";"E";"E15";"E15c";"-1";52.382189;4.867908;NA;NA
"49826";"NLD";"NH";"Amsterdam";"Amsterdam";"Notweg 54";"1068LM";"Nieuw West";"Osdorp Oost";"Meer en Oever";"Meer en Oever";"F";"F81";"F81b";"-1";52.361951;4.801934;NA;NA
"49870";"NLD";"NH";"Amsterdam";"Amsterdam";"Amerbos 459";"1025ZK";"Noord";"Buikslotermeer";"Buikslotermeer Noord";"Buikslotermeer Noord";"N";"N69";"N69m";"-1";52.40471;4.941932;NA;NA
"49884";"NLD";"NH";"Amsterdam";"Amsterdam";"Mijndenhof 117";"1106GE";"Zuidoost";"Gein";"Gein Noordoost";"Gein Noordoost";"T";"T97";"T97c";"-1";52.299996;4.971405;NA;NA
"52856";"NLD";"NH";"Amsterdam";"Amsterdam";"Bankastraat 1";"1094CZ";"Oost";"Indische Buurt West";"Noordwestkwadrant Indische buurt Noord";"Noordwestkwadrant Indische buurt Noord";"M";"M31";"M31a";"-1";52.364848;4.931845;NA;NA
"53188";"NLD";"NH";"Amsterdam";"Amsterdam";"Osdorper Ban 837";"1069GA";"Nieuw West";"De Punt";"De Punt";"De Punt";"F";"F83";"F83a";"-1";52.36021;4.792161;NA;NA
"46880";"NLD";"NH";"Amsterdam";"Amsterdam";"Tollensstraat 127";"1053RZ";"West";"Da Costabuurt";"Da Costabuurt Noord";"Da Costabuurt Noord";"E";"E17";"E17a";"-1";52.365382;4.870168;NA;NA
"46882";"NLD";"NH";"Amsterdam";"Amsterdam";"Leeuwendalersweg 18";"1055EZ";"Centrum";"Jordaan";"Bloemgrachtbuurt";"Bloemgrachtbuurt";"A";"A06";"A06c";"-1";52.380235;4.849115;NA;NA
"47167";"NLD";"NH";"Amsterdam";"Amsterdam";"Linnaeushof 85";"1098KT";"Oost";"Middenmeer";"Linnaeusparkbuurt";"Linnaeusparkbuurt";"M";"M56";"M56a";"-1";52.292813;4.967653;NA;NA
"47213";"NLD";"NH";"Amsterdam";"Amsterdam";"Fluitschipstraat 3";"1034JJ";"Noord";"Banne Buiksloot";"Banne Buiksloot";"Banne Buiksloot";"N";"N70";"-1";"-1";52.403614;4.915556;NA;NA
"52710";"NLD";"NH";"Amsterdam";"Amsterdam";"Weissenbruchstraat 1";"1058KM";"Nieuw West";"Osdorp Oost";"Osdorpplein e.o.";"Osdorpplein e.o.";"F";"F81";"F81c";"-1";52.35347;4.851515;NA;NA
